Date(UTC);Pair;Base Asset;Quote Asset;Type;Price;Amount;Total;Fee;Fee Coin
2025-07-19 20:09:06;BTC/EUR;BTC;EUR;SELL;101547.17;0.01103;1120.0652851;1.06406202;EUR
2025-07-19 20:08:56;BTC/EUR;BTC;EUR;BUY;101565.85;0.00502;509.860567;0.00000477;BTC
2025-07-19 20:08:56;BTC/EUR;BTC;EUR;BUY;101565.85;0.01206;1224.884151;0.00001146;BTC
2025-07-19 20:08:56;BTC/EUR;BTC;EUR;BUY;101565.85;0.00818;830.808653;0.00000777;BTC
2025-07-19 20:07:43;BTC/EUR;BTC;EUR;SELL;101552.9;0.01706;1732.492474;1.64586785;EUR
2025-07-19 20:07:43;BTC/EUR;BTC;EUR;SELL;101552.9;0.00818;830.702722;0.78916759;EUR
2025-07-19 20:07:33;BTC/EUR;BTC;EUR;BUY;101544.94;0.00057;57.8806158;0.00000054;BTC
2025-07-19 20:07:33;BTC/EUR;BTC;EUR;BUY;101544.94;0.01478;1500.8342132;0.00001404;BTC
2025-07-19 20:07:33;BTC/EUR;BTC;EUR;BUY;101544.94;0.00993;1008.3412542;0.00000943;BTC
2025-07-19 20:02:13;XRP/EUR;XRP;EUR;SELL;2.9476;682.2;2010.85272;1.91031008;EUR
2025-07-19 20:02:13;XRP/EUR;XRP;EUR;SELL;2.9476;109.6;323.05696;0.30690411;EUR
2025-07-19 20:02:02;XRP/EUR;XRP;EUR;BUY;2.9476;123;362.5548;0.11685;XRP
2025-07-19 20:02:02;XRP/EUR;XRP;EUR;BUY;2.9474;1.9;5.60006;0.001805;XRP
2025-07-19 20:02:02;XRP/EUR;XRP;EUR;BUY;2.9477;2.6;7.66402;0.00247;XRP
2025-07-19 20:02:02;XRP/EUR;XRP;EUR;BUY;2.9473;126;371.3598;0.1197;XRP
2025-07-19 20:02:02;XRP/EUR;XRP;EUR;BUY;2.9472;1.9;5.59968;0.001805;XRP
2025-07-19 20:02:02;XRP/EUR;XRP;EUR;BUY;2.9477;48.6;143.25822;0.04617;XRP
2025-07-19 20:02:02;XRP/EUR;XRP;EUR;BUY;2.9476;1.9;5.60044;0.001805;XRP
2025-07-19 20:02:02;XRP/EUR;XRP;EUR;BUY;2.9475;125.6;370.206;0.11932;XRP
2025-07-19 20:02:02;XRP/EUR;XRP;EUR;BUY;2.9474;126.7;373.43558;0.120365;XRP
2025-07-19 20:02:02;XRP/EUR;XRP;EUR;BUY;2.9471;109.6;323.00216;0.10412;XRP
2025-07-19 20:02:02;XRP/EUR;XRP;EUR;BUY;2.9472;124.8;367.81056;0.11856;XRP
2025-07-19 20:00:52;XRP/EUR;XRP;EUR;SELL;2.9494;262.9;775.39726;0.7366274;EUR
2025-07-19 20:00:52;XRP/EUR;XRP;EUR;SELL;2.9494;417.5;1231.3745;1.16980578;EUR
2025-07-19 20:00:52;XRP/EUR;XRP;EUR;SELL;2.9494;109.6;323.25424;0.30709153;EUR
2025-07-19 20:00:41;XRP/EUR;XRP;EUR;BUY;2.9493;109.6;323.24328;0.10412;XRP
2025-07-19 20:00:41;XRP/EUR;XRP;EUR;BUY;2.9493;681.9;2011.12767;0.647805;XRP
2025-07-19 19:59:29;XRP/EUR;XRP;EUR;SELL;2.9507;109.6;323.39672;0.30722688;EUR
2025-07-19 19:59:29;XRP/EUR;XRP;EUR;SELL;2.9507;681.8;2011.78726;1.9111979;EUR
2025-07-19 19:59:19;XRP/EUR;XRP;EUR;BUY;2.9496;681.8;2011.03728;0.64771;XRP
2025-07-19 19:59:19;XRP/EUR;XRP;EUR;BUY;2.9496;109.6;323.27616;0.10412;XRP
2025-07-19 19:49:49;XRP/EUR;XRP;EUR;SELL;2.9493;184.2;543.26106;0.51609801;EUR
2025-07-19 19:49:49;XRP/EUR;XRP;EUR;SELL;2.9493;183.5;541.19655;0.51413672;EUR
2025-07-19 19:49:49;XRP/EUR;XRP;EUR;SELL;2.9493;313.2;923.72076;0.87753472;EUR
2025-07-19 19:49:49;XRP/EUR;XRP;EUR;SELL;2.9493;109.6;323.24328;0.30708112;EUR
2025-07-19 19:49:39;XRP/EUR;XRP;EUR;BUY;2.949;680.5;2006.7945;0.646475;XRP
2025-07-19 19:49:39;XRP/EUR;XRP;EUR;BUY;2.949;1.9;5.6031;0.001805;XRP
2025-07-19 19:49:39;XRP/EUR;XRP;EUR;BUY;2.949;109.6;323.2104;0.10412;XRP
2025-07-19 19:48:27;BTC/EUR;BTC;EUR;SELL;101478.1;0.01657;1681.492117;1.59741751;EUR
2025-07-19 19:48:27;BTC/EUR;BTC;EUR;SELL;101478.1;0.00055;55.812955;0.05302231;EUR
2025-07-19 19:48:27;BTC/EUR;BTC;EUR;SELL;101478.1;0.00821;833.135201;0.79147844;EUR
2025-07-19 19:48:15;XRP/EUR;XRP;EUR;SELL;2.9473;552;1626.9096;1.54556412;EUR
2025-07-19 19:48:15;XRP/EUR;XRP;EUR;SELL;2.9473;241;710.2993;0.67478434;EUR
2025-07-19 19:48:06;BTC/EUR;BTC;EUR;BUY;101492.8;0.00032;32.477696;0.0000003;BTC
2025-07-19 19:48:06;BTC/EUR;BTC;EUR;BUY;101492.8;0.00518;525.732704;0.00000492;BTC
2025-07-19 19:48:06;BTC/EUR;BTC;EUR;BUY;101492.8;0.01983;2012.602224;0.00001884;BTC
2025-07-19 19:47:43;XRP/EUR;XRP;EUR;BUY;2.9469;529.7;1560.97293;0.503215;XRP
2025-07-19 19:47:43;XRP/EUR;XRP;EUR;BUY;2.9469;263.3;775.91877;0.250135;XRP
2025-07-19 19:42:23;BTC/EUR;BTC;EUR;SELL;101487.67;0.00911;924.5526737;0.87832504;EUR
2025-07-19 19:42:23;BTC/EUR;BTC;EUR;SELL;101487.67;0.00978;992.5494126;0.94292194;EUR
2025-07-19 19:42:23;BTC/EUR;BTC;EUR;SELL;101487.67;0.006;608.92602;0.57847972;EUR
2025-07-19 19:42:23;BTC/EUR;BTC;EUR;SELL;101487.67;0.0004;40.595068;0.03856531;EUR
2025-07-19 19:42:10;XRP/EUR;XRP;EUR;SELL;2.9466;680.9;2006.33994;1.90602294;EUR
2025-07-19 19:42:10;XRP/EUR;XRP;EUR;SELL;2.9466;1.9;5.59854;0.00531861;EUR
2025-07-19 19:42:10;XRP/EUR;XRP;EUR;SELL;2.9466;109.6;322.94736;0.30679999;EUR
2025-07-19 19:41:59;BTC/EUR;BTC;EUR;BUY;101475.03;0.01459;1480.5206877;0.00001386;BTC
2025-07-19 19:41:59;BTC/EUR;BTC;EUR;BUY;101477.69;0.00006;6.0886614;0.00000006;BTC
2025-07-19 19:41:59;BTC/EUR;BTC;EUR;BUY;101472.56;0.00046;46.6773776;0.00000044;BTC
2025-07-19 19:41:59;BTC/EUR;BTC;EUR;BUY;101475.02;0.00862;874.7146724;0.00000819;BTC
2025-07-19 19:41:59;BTC/EUR;BTC;EUR;BUY;101477.43;0.00006;6.0886458;0.00000006;BTC
2025-07-19 19:41:59;BTC/EUR;BTC;EUR;BUY;101478.96;0.00155;157.292388;0.00000147;BTC
2025-07-19 19:41:40;XRP/EUR;XRP;EUR;BUY;2.9457;109.6;322.84872;0.10412;XRP
2025-07-19 19:41:40;XRP/EUR;XRP;EUR;BUY;2.9457;683.9;2014.56423;0.649705;XRP
2025-07-19 19:38:54;BTC/EUR;BTC;EUR;SELL;101451.53;0.01062;1077.4152486;1.02354449;EUR
2025-07-19 19:38:54;BTC/EUR;BTC;EUR;SELL;101451.53;0.01474;1495.3955522;1.42062577;EUR
2025-07-19 19:38:43;BTC/EUR;BTC;EUR;BUY;101443.91;0.02312;2345.3831992;0.00002196;BTC
2025-07-19 19:38:43;BTC/EUR;BTC;EUR;BUY;101443.91;0.00224;227.2343584;0.00000213;BTC
2025-07-19 19:37:31;BTC/EUR;BTC;EUR;SELL;101438.08;0.00445;451.399456;0.42882948;EUR
2025-07-19 19:37:31;BTC/EUR;BTC;EUR;SELL;101438.08;0.01154;1170.5954432;1.11206567;EUR
2025-07-19 19:37:31;BTC/EUR;BTC;EUR;SELL;101438.08;0.00934;947.4316672;0.90006008;EUR
2025-07-19 19:37:21;BTC/EUR;BTC;EUR;BUY;101432.9;0.00037;37.530173;0.00000035;BTC
2025-07-19 19:37:21;BTC/EUR;BTC;EUR;BUY;101434.57;0.00007;7.1004199;0.00000007;BTC
2025-07-19 19:37:21;BTC/EUR;BTC;EUR;BUY;101435.85;0.00006;6.086151;0.00000006;BTC
2025-07-19 19:37:21;BTC/EUR;BTC;EUR;BUY;101438.08;0.00038;38.5464704;0.00000036;BTC
2025-07-19 19:37:21;BTC/EUR;BTC;EUR;BUY;101432.9;0.00024;24.343896;0.00000023;BTC
2025-07-19 19:37:21;BTC/EUR;BTC;EUR;BUY;101438.09;0.02424;2458.8593016;0.00002303;BTC
2025-07-19 19:36:09;BTC/EUR;BTC;EUR;SELL;101407.67;0.00067;67.9431389;0.06454598;EUR
2025-07-19 19:36:09;BTC/EUR;BTC;EUR;SELL;101407.67;0.01547;1568.7766549;1.49033782;EUR
2025-07-19 19:36:09;BTC/EUR;BTC;EUR;SELL;101407.67;0.0092;932.950564;0.88630304;EUR
2025-07-19 19:35:56;ETH/EUR;ETH;EUR;SELL;3064.67;0.0829;254.061143;0.24135809;EUR
2025-07-19 19:35:56;ETH/EUR;ETH;EUR;SELL;3064.67;0.616;1887.83672;1.79344488;EUR
2025-07-19 19:35:56;ETH/EUR;ETH;EUR;SELL;3064.67;0.1403;429.973201;0.40847454;EUR
2025-07-19 19:35:45;BTC/EUR;BTC;EUR;BUY;101400.82;0.00717;727.0438794;0.00000681;BTC
2025-07-19 19:35:45;BTC/EUR;BTC;EUR;BUY;101400.82;0.00493;499.9060426;0.00000468;BTC
2025-07-19 19:35:45;BTC/EUR;BTC;EUR;BUY;101400.82;0.01328;1346.6028896;0.00001262;BTC
